"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test adds 2 numbers and verify the result","3094","Test01: Adding 2 Numbers","test_cases","Fri Jun 20 17:30:40 IDT 2025","passed","Fri Jun 20 17:30:43 IDT 2025","Test_Desktop","test_desktop","",""
"this test creates and verifies a new user","2152","Test03: Verify New User","test_cases","Fri Jun 20 17:50:34 IDT 2025","passed","Fri Jun 20 17:50:36 IDT 2025","Test_Web","test_web","",""
"this test verifies upper menu buttons are displayed","297","Test02: Verify Upper Menu Buttons","test_cases","Fri Jun 20 17:50:33 IDT 2025","passed","Fri Jun 20 17:50:33 IDT 2025","Test_Web","test_web","",""
"this test verifies the mortgage repayment","4452","Test01: Verify Mortgage Repayment","test_cases","Fri Jun 20 17:55:07 IDT 2025","passed","Fri Jun 20 17:55:11 IDT 2025","Test_Mobile","test_mobile","",""
"this test filters users","1657","Test04: Filtering Users","test_cases","Fri Jun 20 17:50:38 IDT 2025","passed","Fri Jun 20 17:50:39 IDT 2025","Test_Web","test_web","",""
"This test adds a new task and verifies it in the list of tasks","309","Test01: Add and Verify New Task","test_cases","Fri Jun 20 17:44:08 IDT 2025","passed","Fri Jun 20 17:44:08 IDT 2025","Test_Electron","test_electron","",""
"this test filters users","1043","Test04: Filtering Users","test_cases","Fri Jun 20 17:50:43 IDT 2025","passed","Fri Jun 20 17:50:44 IDT 2025","Test_Web","test_web","",""
"this test verifies visually users table","0","Test06: Visual Testing","test_cases","Fri Jun 20 17:50:50 IDT 2025","skipped","Fri Jun 20 17:50:50 IDT 2025","Test_Web","test_web","",""
"this test verifies the grafana team member name","34","Test02: Verify Team Name","test_cases","Fri Jun 20 17:37:35 IDT 2025","passed","Fri Jun 20 17:37:35 IDT 2025","Test_API","test_api","",""
"this test filters users","1504","Test04: Filtering Users","test_cases","Fri Jun 20 17:50:40 IDT 2025","passed","Fri Jun 20 17:50:42 IDT 2025","Test_Web","test_web","",""
"this test verifies a successful login to grafana","1641","Test01: Verify Login Grafana","","Wed Jun 18 11:19:03 IDT 2025","passed","Wed Jun 18 11:19:05 IDT 2025","Test_Web","test_web","",""
"this test verifies deleted users","3459","Test05: Delete User","","Wed Jun 18 11:19:17 IDT 2025","passed","Wed Jun 18 11:19:20 IDT 2025","Test_Web","test_web","",""
"this test delete and verify status code","86","Test05: Delete Team & Verify Status Code","test_cases","Fri Jun 20 17:37:36 IDT 2025","passed","Fri Jun 20 17:37:36 IDT 2025","Test_API","test_api","",""
"this test filters users","1432","Test04: Filtering Users","","Wed Jun 18 11:19:10 IDT 2025","passed","Wed Jun 18 11:19:11 IDT 2025","Test_Web","test_web","",""
"this test verifies visually users table","0","Test06: Visual Testing","","Wed Jun 18 11:19:21 IDT 2025","skipped","Wed Jun 18 11:19:21 IDT 2025","Test_Web","test_web","",""
"this test verifies upper menu buttons are displayed","513","Test02: Verify Upper Menu Buttons","","Wed Jun 18 11:19:06 IDT 2025","passed","Wed Jun 18 11:19:06 IDT 2025","Test_Web","test_web","",""
"this test filters users","1518","Test04: Filtering Users","","Wed Jun 18 11:19:12 IDT 2025","passed","Wed Jun 18 11:19:14 IDT 2025","Test_Web","test_web","",""
"this test Update Team & Verify Status Code","85","Test03: Update Team & Verify Status Code","test_cases","Fri Jun 20 17:37:35 IDT 2025","passed","Fri Jun 20 17:37:36 IDT 2025","Test_API","test_api","",""
"this test creates new team in grafana","46","Test01: Create team & Verify Status Code","test_cases","Fri Jun 20 17:37:35 IDT 2025","passed","Fri Jun 20 17:37:35 IDT 2025","Test_API","test_api","",""
"this test filters users","978","Test04: Filtering Users","","Wed Jun 18 11:19:15 IDT 2025","passed","Wed Jun 18 11:19:16 IDT 2025","Test_Web","test_web","",""
"this test verifies saved transaction details","6869","Test02: Verify Saved Details","test_cases","Fri Jun 20 17:55:11 IDT 2025","passed","Fri Jun 20 17:55:18 IDT 2025","Test_Mobile","test_mobile","",""
"this test verifies deleted users","4120","Test05: Delete User","test_cases","Fri Jun 20 17:50:45 IDT 2025","passed","Fri Jun 20 17:50:49 IDT 2025","Test_Web","test_web","",""
"This test does some arithmetics actions and verifies it","7278","Test02: Arithmetic Actions ","test_cases","Fri Jun 20 17:30:44 IDT 2025","passed","Fri Jun 20 17:30:51 IDT 2025","Test_Desktop","test_desktop","",""
"This test adds a new tasks and verifies it in the list of tasks","608","Test02: Add and Verify New Tasks","test_cases","Fri Jun 20 17:44:09 IDT 2025","passed","Fri Jun 20 17:44:10 IDT 2025","Test_Electron","test_electron","",""
"this test creates and verifies a new user","2103","Test03: Verify New User","","Wed Jun 18 11:19:07 IDT 2025","passed","Wed Jun 18 11:19:09 IDT 2025","Test_Web","test_web","",""
"this test verifies a successful login to grafana","2170","Test01: Verify Login Grafana","test_cases","Fri Jun 20 17:50:30 IDT 2025","passed","Fri Jun 20 17:50:32 IDT 2025","Test_Web","test_web","",""
"this test Verifies team member name","38","Test04: Update Team Name","test_cases","Fri Jun 20 17:37:36 IDT 2025","passed","Fri Jun 20 17:37:36 IDT 2025","Test_API","test_api","",""
